userid,departmentid
24897882,24149890
26063229,21517321
17654459,22074179
25163765,25163380
32830036,32966220
31757077,17742697
26503084,25812738
21776298,28491462
25160578,24648570
21729684,21729762
27475647,27475616
28437656,28437596
25162752,25165005
28243230,15552935
26534740,26542838
21842841,54127579
25161165,17654809
25169706,25153040
33419718,27243215
21307634,24647798
27072859,25152067
27077207,21841523
27133385,15576321
21308225,23643794
26639265,26624580
16881508,13635592
32550219,13635592
27118764,26638456
27078977,27081668
28455131,28456874
17660856,16809377
21295386,16809377
26888748,21843478
21843581,21843582
21806442,52677664
22561224,22169874
27088481,52678219
21787814,22265923
24291985,17655292
21843401,17742675
27063121,26554188
23352322,28784467
22428204,23839712
26924517,4732460
27309062,17002381
32861944,32861945
27238042,24562877
21842343,21720810
25198038,26647794
27130620,21239672
28690372,25163903
25218099,21821055
25196389,29208207
28559152,6141569
26550023,21836733
21640610,25162131
32040086,22282701
21324711,21835451
26648555,17804476
27391372,24307058
17678805,17742675
27107169,27187934
27233675,26505762
26097685,21842399
25157044,25161460
27238873,28389838
21830534,24759182
25416601,24262633
21299178,26609896
26553914,25151917
21592317,21592960
21844321,27118159
27190999,27191000
21593217,21593218
27102979,19875891
29299103,55204116
25950653,25810945
22539610,22539611
21315539,25152350
17174269,17174270
22225414,9228058
32285774,28659415
30913438,28766264
3644915,21276281
2218799,13296705
2776198,21794365
1554624,1554625
1607465,21843595
1865906,2265074
8185541,17656485
6615115,27212579
7141548,1864454
5236177,5236950
5235897,10779301
5239420,10780247
5228600,10778960
5227536,5241459
5234038,14819154
5232433,10780106
5219765,5219766
5216448,14763381
5205380,5242378
5196665,24452719
5188168,52072195
5188121,52081731
5177769,21561250
5181861,27436179
10310762,32668883
13671837,15167944
13337991,17194556
52205160,59218
23834293,23842973
21638168,24291620
21588239,21588336
30578774,26925871
8232003,21852881
4770492,14714715
5236160,31360871
5235440,5235441
5240451,6287777
5230367,21561250
5229402,5240735
5218596,21399293
5213972,15136624
11583251,6587298
14541071,21809759
62566523,29686367
61195520,21638426
33333850,27801143
31761012,31761013
3291844,17200565
769882,17200822
7190151,14099897
5221505,10780592
5219367,10768911
5222492,10779915
5177464,5239164
5147198,10779286
13294235,26608677
52144141,14763682
52052575,17682964
27173604,22911275
5229018,10768990
6664969,13411160
8772064,26995768
27108295,21531106
25595177,25595178
26609370,66368841
27192762,26547574
32561792,28786237
6552705,27069630
5191217,5237151
59941034,66676983
7056967,10780377
26826231,21297272
29379197,52678328
7837279,15050265
56392142,5230386
5228055,10780280
25671596,23721823
21724376,25162331
21833579,21834241
27811482,2674002
21840122,17587284
26533479,66071177
25260731,26617763
31219336,26619652
29579116,25216243
3879042,25160184
1322484,1322485
7561349,51337306
6652834,27475483
5602479,24255628
5866198,23241634
4722424,13635594
5236592,1692533
5241343,5242283
5240921,13886679
5240670,14763289
5239872,14758839
5238965,57629695
5233184,4396141
5224029,50558796
5207465,23250363
5184240,15377365
11890027,52678241
13770446,27073910
54080780,25160929
57996088,16292991
58410411,30394292
58380329,30394292
55101081,32546112
62040255,1101760
21717100,52207482
21583379,21719051
27578535,19290740
27125255,21720047
27128586,28774131
27118315,28793534
25442732,58678663
4751361,52678155
5234952,14763363
5239090,14763275
5228142,10780383
5184429,5228565
12678458,62195620
58556822,25163903
57027484,14837913
57346529,50598556
